id,organization_id,google_app_id,name,category,risk_level,management_status,total_permissions,created_at,updated_at,all_scopes,microsoft_app_id,category_status,provider,user_count,owner_email,notes
295a18a8-0c59-4343-b60d-387d83a73edc,359d186d-9632-41ec-b95d-60f1182bb71a,,Adobe Acrobat Reader for PDF,Productivity & Collaboration,HIGH,NEEDS_REVIEW,6,2025-05-22 00:15:20.237708+00,2025-05-22 00:15:21.835+00,"[""Files.ReadWrite.All"",""User.Read"",""Mail.Read"",""openid"",""profile"",""offline_access""]",cf90ab8f-8091-4c2d-b6a9-0b89a3312382,UNCATEGORIZED,google,1,,
2d633bab-fb7f-4704-a6aa-56c6f65282de,359d186d-9632-41ec-b95d-60f1182bb71a,,Google Workspace,Identity & Access Management,LOW,NEEDS_REVIEW,3,2025-05-22 00:16:17.918923+00,2025-05-22 00:16:20.277+00,"[""openid"",""email"",""profile""]",4d7fe9fb-5646-447f-ba61-ba9bd4455b27,UNCATEGORIZED,google,1,,
35a38651-a4b1-4947-89b3-591195072f1c,359d186d-9632-41ec-b95d-60f1182bb71a,,OneNote Web Clipper,Productivity & Collaboration,HIGH,NEEDS_REVIEW,7,2025-05-22 00:16:20.677138+00,2025-05-22 00:16:23.152+00,"[""Notes.Create"",""Notes.ReadWrite.CreatedByApp"",""Notes.Read"",""Notes.ReadWrite"",""Notes.Read.All"",""Notes.ReadWrite.All"",""User.Read""]",9322f837-c8f8-4796-9aef-1677748fe553,UNCATEGORIZED,google,1,,
3dd99ad9-6792-4265-805a-e28d5a5096ed,359d186d-9632-41ec-b95d-60f1182bb71a,,Vidyard for Outlook,Productivity & Collaboration,MEDIUM,NEEDS_REVIEW,3,2025-05-22 00:16:13.494205+00,2025-05-22 00:16:14.43+00,"[""openid"",""profile"",""User.Read""]",9ae5790c-eab6-43ae-b052-6decde41bfd8,UNCATEGORIZED,google,3,,
41d42f79-248b-4d0a-9aab-94881eaabbc6,359d186d-9632-41ec-b95d-60f1182bb71a,,Check Point Cloud Security Platform - Emails V2,IT Operations & Security,HIGH,NEEDS_REVIEW,9,2025-05-22 00:16:11.412639+00,2025-05-22 00:16:12.929+00,"[""Directory.AccessAsUser.All"",""Mail.Send.Shared"",""Mail.ReadWrite.Shared"",""Mail.ReadWrite"",""Mail.Send"",""Group.ReadWrite.All"",""MailboxSettings.ReadWrite"",""Mail.Send.All"",""Mail.ReadWrite.All""]",a8f0a960-b8e2-449e-85d1-fc15ee7aed5f,UNCATEGORIZED,google,1,,
4211bcd0-80ed-4ec1-87c7-423843ac4cd9,359d186d-9632-41ec-b95d-60f1182bb71a,,3CX Login OAuth,Identity & Access Management,MEDIUM,NEEDS_REVIEW,1,2025-05-22 00:16:15.684586+00,2025-05-22 00:16:19.303+00,"[""User.Read""]",555f4399-bd57-484c-a98f-9d1e23e4963b,UNCATEGORIZED,google,5,,
42ab2089-b9c6-4a38-a5d5-c046d347af13,359d186d-9632-41ec-b95d-60f1182bb71a,,Shop,Identity & Access Management,MEDIUM,NEEDS_REVIEW,5,2025-05-22 00:16:25.116574+00,2025-05-22 00:16:27.425+00,"[""openid"",""offline_access"",""profile"",""User.Read"",""Mail.Read""]",ddba1a4a-407e-454d-acf9-826d96d4fd94,UNCATEGORIZED,google,1,,
48c4df58-f925-442d-949c-947c2fe83eeb,359d186d-9632-41ec-b95d-60f1182bb71a,,Samsung Email,Productivity & Collaboration,HIGH,NEEDS_REVIEW,8,2025-05-22 00:15:43.385363+00,2025-05-22 00:15:44.985+00,"[""EAS.AccessAsUser.All"",""IMAP.AccessAsUser.All"",""POP.AccessAsUser.All"",""SMTP.Send"",""User.Read"",""offline_access"",""openid"",""profile""]",8acd33ea-7197-4a96-bc33-d7cc7101262f,UNCATEGORIZED,google,2,,
4ba7cfdb-5296-4e45-ab95-4d7c74605804,359d186d-9632-41ec-b95d-60f1182bb71a,," reMarkable Integrations OneDrive",Productivity & Collaboration,HIGH,NEEDS_REVIEW,4,2025-05-22 00:16:21.461612+00,2025-05-22 00:16:22.755+00,"[""offline_access"",""Files.ReadWrite.All"",""Sites.ReadWrite.All"",""User.Read""]",ae63008e-fb09-4e07-9a1e-f16d82cee8c2,UNCATEGORIZED,google,1,,
4fc7d6fb-861f-4105-8ada-de8c2cd34f22,359d186d-9632-41ec-b95d-60f1182bb71a,,Canva,Design & Creative Tools,MEDIUM,Managed,4,2025-05-22 00:15:53.247167+00,2025-05-22 00:15:54.138+00,"[""email"",""openid"",""profile"",""User.Read""]",2c0bebe0-bdb3-4909-8955-7ef311f0db22,UNCATEGORIZED,google,4,,
51c71bce-17b0-4d14-a559-dd240f67db3c,359d186d-9632-41ec-b95d-60f1182bb71a,,Adobe Acrobat,Design & Creative Tools,MEDIUM,NEEDS_REVIEW,3,2025-05-22 00:15:50.658437+00,2025-05-22 00:15:52.381+00,"[""User.Read"",""user_impersonation"",""UnifiedPolicy.User.Read""]",97bd680b-f203-4917-a342-308a3de4094a,UNCATEGORIZED,google,1,,
55671bc2-2f05-44b0-a3ce-f7b5f7b0d29a,359d186d-9632-41ec-b95d-60f1182bb71a,,diagrams.net,Design & Creative Tools,HIGH,NEEDS_REVIEW,4,2025-05-22 00:16:22.247717+00,2025-05-22 00:16:23.488+00,"[""User.Read"",""Files.ReadWrite.All"",""Sites.Read.All"",""offline_access""]",b5ff67d6-3155-4fca-965a-59a3655c4476,UNCATEGORIZED,google,1,,
5cd64377-4eb7-4cf8-9f3d-6fb6505c5c6f,359d186d-9632-41ec-b95d-60f1182bb71a,,Graph Explorer,Developer & Engineering Tools,HIGH,NEEDS_REVIEW,13,2025-05-22 00:14:17.818888+00,2025-05-22 00:14:21.007+00,"[""openid"",""profile"",""User.Read"",""offline_access"",""User.ReadBasic.All"",""Application.Read.All"",""Application.ReadWrite.All"",""Directory.Read.All"",""Directory.ReadWrite.All"",""Synchronization.Read.All"",""Synchronization.ReadWrite.All"",""Presence.Read.All"",""Presence.Read""]",de8bc8b5-d9f9-48b1-a8ad-b748da725064,UNCATEGORIZED,google,2,,
5f6ed5b5-7cbc-4850-8ec8-970e85976fc9,359d186d-9632-41ec-b95d-60f1182bb71a,,Stitchflow Tools,Identity & Access Management,HIGH,NEEDS_REVIEW,9,2025-05-22 00:15:19.491804+00,2025-05-22 00:15:21.863+00,"[""User.Read"",""offline_access"",""openid"",""profile"",""email"",""Directory.Read.All"",""Application.Read.All"",""DelegatedPermissionGrant.ReadWrite.All"",""AppRoleAssignment.ReadWrite.All""]",d04f0654-a990-4ed1-b8f4-d93d18f47360,UNCATEGORIZED,google,1,,
64a959a3-e0bc-467c-ab9d-8061e2a3ebb4,359d186d-9632-41ec-b95d-60f1182bb71a,,teams-addin-production,Productivity & Collaboration,LOW,NEEDS_REVIEW,4,2025-05-22 00:14:16.487475+00,2025-05-22 00:14:18.397+00,"[""profile"",""offline_access"",""email"",""openid""]",a82e68d0-b9db-4758-94f4-422759895937,UNCATEGORIZED,google,2,,
66cf64b8-d1d5-4275-a122-1fd613520cb1,359d186d-9632-41ec-b95d-60f1182bb71a,,TypingClub,Others,MEDIUM,NEEDS_REVIEW,2,2025-05-22 00:16:03.833302+00,2025-05-22 00:16:27.31+00,"[""openid"",""User.Read""]",ce04944a-6110-44c7-a408-ef13dfda569b,UNCATEGORIZED,google,1,,
67928cca-2e55-4c78-8b6f-4dcc17b44f23,359d186d-9632-41ec-b95d-60f1182bb71a,,Employment Law Practical Handbook Office365 Login,Identity & Access Management,LOW,NEEDS_REVIEW,2,2025-05-22 00:15:59.724868+00,2025-05-22 00:16:02.118+00,"[""openid"",""profile""]",8ba28587-3743-4812-a67d-7dffbe5eb653,UNCATEGORIZED,google,1,,
6c315f85-f6ca-41e4-819f-d8693dd0939b,359d186d-9632-41ec-b95d-60f1182bb71a,,Gmail,Productivity & Collaboration,HIGH,NEEDS_REVIEW,2,2025-05-22 00:15:44.48297+00,2025-05-22 00:15:47.136+00,"[""offline_access"",""EAS.AccessAsUser.All""]",2cee05de-2b8f-45a2-8289-2a06ca32c4c8,UNCATEGORIZED,google,2,,
6f1116c7-762c-4d08-92ca-6c0a7de782fa,359d186d-9632-41ec-b95d-60f1182bb71a,,webappoffice365-veeam,Cloud Platforms & Infrastructure,MEDIUM,NEEDS_REVIEW,5,2025-05-22 00:16:09.141066+00,2025-05-22 00:16:10.782+00,"[""openid"",""profile"",""offline_access"",""User.Read.All"",""Reports.Read.All""]",7e5b45d6-dd32-4ca3-8402-3bc900013e69,UNCATEGORIZED,google,1,,
703c7815-0904-4fc0-8d2c-76977c4c807b,359d186d-9632-41ec-b95d-60f1182bb71a,,TeamsFlowTab,Productivity & Collaboration,MEDIUM,NEEDS_REVIEW,6,2025-05-22 00:15:45.588128+00,2025-05-22 00:15:47.135+00,"[""Flows.Read.All"",""Flows.Manage.All"",""Activity.Read.All"",""Approvals.Read.All"",""Approvals.Manage.All"",""User.Read""]",1396f65c-f59e-4d2c-a772-8c3878b9461a,UNCATEGORIZED,google,1,,
71a0262e-429d-49df-ab6e-4cff9037caf6,359d186d-9632-41ec-b95d-60f1182bb71a,,Trello,Project Management,LOW,NEEDS_REVIEW,3,2025-05-22 00:15:49.582342+00,2025-05-22 00:15:52.008+00,"[""openid"",""offline_access"",""profile""]",9944f501-65a1-4c2e-8b01-eba72f40b69f,UNCATEGORIZED,google,2,,
77586d2c-ad19-47d0-9df5-45b0346b5780,359d186d-9632-41ec-b95d-60f1182bb71a,,MyFiles,Productivity & Collaboration,HIGH,NEEDS_REVIEW,5,2025-05-22 00:16:04.580741+00,2025-05-22 00:16:06.979+00,"[""Files.ReadWrite"",""User.Read"",""openid"",""offline_access"",""profile""]",d5e6af94-cdf0-4cf4-bc48-f9bfba16b189,UNCATEGORIZED,google,1,,
7b158615-5522-4ad7-86e4-5e9846d4ac62,359d186d-9632-41ec-b95d-60f1182bb71a,,AhaSlides,Productivity & Collaboration,MEDIUM,NEEDS_REVIEW,4,2025-05-22 00:14:50.158109+00,2025-05-22 00:14:51.999+00,"[""openid"",""profile"",""email"",""User.Read""]",526eeccb-294b-4866-82fc-b857e32ef72a,UNCATEGORIZED,google,1,,
7c20a838-c6e5-4b45-8c6a-e22c38d13798,359d186d-9632-41ec-b95d-60f1182bb71a,,Salesforce Inbox,Sales & Marketing,HIGH,NEEDS_REVIEW,6,2025-05-22 00:14:14.505945+00,2025-05-22 00:14:15.368+00,"[""User.Read"",""Contacts.ReadWrite"",""Calendars.ReadWrite"",""Mail.Send"",""Mail.ReadWrite"",""EWS.AccessAsUser.All""]",00b263e4-3497-4650-b082-3197cfdfdd7c,UNCATEGORIZED,google,2,,
7f8e8c2d-a453-4a82-b7b7-cdcafab318d5,359d186d-9632-41ec-b95d-60f1182bb71a,,Zoom Phone,Productivity & Collaboration,HIGH,Managed,8,2025-05-22 00:15:17.603912+00,2025-05-22 00:15:18.624+00,"[""Organization.Read.All"",""offline_access"",""User.ReadWrite.All"",""openid"",""email"",""profile"",""Domain.ReadWrite.All"",""user_impersonation""]",5340c995-387d-4a78-a902-6fdb1d44f71b,UNCATEGORIZED,google,2,,
803187c5-d1a3-43c4-8b91-57ea59b4ce67,359d186d-9632-41ec-b95d-60f1182bb71a,,PRISM Partner Connect,Identity & Access Management,MEDIUM,NEEDS_REVIEW,2,2025-05-22 00:16:05.435336+00,2025-05-22 00:16:07.831+00,"[""User.Read"",""Directory.Read.All""]",95d8d1fc-6cc4-4002-a4b4-d1a5a2264ea4,UNCATEGORIZED,google,1,,
82ea7764-5954-479b-a174-6d9c84cf95a8,359d186d-9632-41ec-b95d-60f1182bb71a,,Officevibe,Human Resources & People Management,LOW,NEEDS_REVIEW,3,2025-05-22 00:15:40.076733+00,2025-05-22 00:15:43.836+00,"[""email"",""profile"",""openid""]",3e500164-df82-4d1e-9db8-0901e07d374d,UNCATEGORIZED,google,4,,
855c9141-9e6b-49b9-9eae-23e630975aeb,359d186d-9632-41ec-b95d-60f1182bb71a,,Salesforce Lightning Sync,Sales & Marketing,MEDIUM,NEEDS_REVIEW,1,2025-05-22 00:16:07.091005+00,2025-05-22 00:16:08.333+00,"[""User.Read""]",c55d6177-918e-4745-96d3-1715194bc7e8,UNCATEGORIZED,google,1,,
862c7904-303e-4dd2-a09b-e29ac8674a05,359d186d-9632-41ec-b95d-60f1182bb71a,,AddEvent.com,Productivity & Collaboration,HIGH,NEEDS_REVIEW,2,2025-05-22 00:15:32.081002+00,2025-05-22 00:15:37.581+00,"[""openid"",""Calendars.ReadWrite""]",d6c1243a-d9fa-4b5e-b14e-9d2bf0a3ae11,UNCATEGORIZED,google,11,,
8d439ffb-962c-49f3-8403-0beca3616519,359d186d-9632-41ec-b95d-60f1182bb71a,,SurveyMonkey,Customer Success & Support,HIGH,NEEDS_REVIEW,4,2025-05-22 00:16:03.132612+00,2025-05-22 00:16:05.134+00,"[""offline_access"",""openid"",""User.ReadBasic.All"",""Files.ReadWrite.All""]",07978fee-621a-42df-82bb-3eabc6511c26,UNCATEGORIZED,google,1,,
90807844-64a2-448e-9041-709f3fc4e0e7,359d186d-9632-41ec-b95d-60f1182bb71a,,AJGraphTest,Identity & Access Management,MEDIUM,NEEDS_REVIEW,2,2025-05-22 00:14:15.749126+00,2025-05-22 00:14:17.319+00,"[""Presence.Read"",""User.Read""]",fa43ae88-e3de-479c-902b-87e091930911,UNCATEGORIZED,google,1,,
91b46b2b-f42c-4132-94ed-632690b5627a,359d186d-9632-41ec-b95d-60f1182bb71a,,Phished - Outlook,IT Operations & Security,MEDIUM,Managed,3,2025-05-22 00:14:52.134435+00,2025-05-22 00:15:18.505+00,"[""profile"",""openid"",""Mail.Read""]",644bca29-3715-439c-ab33-c679fb93e2b9,UNCATEGORIZED,google,61,,
94fa2d71-a3c2-4a1f-8e16-99ee9e44c004,359d186d-9632-41ec-b95d-60f1182bb71a,,Office365 LTI Prod SYD,Productivity & Collaboration,HIGH,NEEDS_REVIEW,3,2025-05-22 00:15:29.835075+00,2025-05-22 00:15:30.267+00,"[""MyFiles.Write"",""Files.ReadWrite.All"",""User.Read""]",f20e8e81-c88e-4588-9cb0-4f6cf6b37119,UNCATEGORIZED,google,1,,
